namespace,relation1,method,parameters,relation2,return_class
char,has_method,capitalize,(a),return_class,Ndarray
char,has_method,lower,(a),return_class,Ndarray
char,has_method,swapcase,(a),return_class,Ndarray
char,has_method,title,(a),return_class,Ndarray
char,has_method,upper,(a),return_class,Ndarray
char,has_method,isalpha,(a),return_class,Ndarray
char,has_method,isalnum,(a),return_class,Ndarray
char,has_method,isdecimal,(a),return_class,Ndarray
char,has_method,isdigit,(a),return_class,Ndarray
char,has_method,islower,(a),return_class,Ndarray
char,has_method,isnumeric,(a),return_class,Ndarray
char,has_method,isspace,(a),return_class,Ndarray
char,has_method,istitle,(a),return_class,Ndarray
char,has_method,isupper,(a),return_class,Ndarray
char,has_method,str_len,(a),return_class,Ndarray
char,has_method,lstrip,"(a, chars=None)",return_class,Ndarray
char,has_method,rstrip,"(a, chars=None)",return_class,Ndarray
char,has_method,strip,"(a, chars=None)",return_class,Ndarray
char,has_method,decode,"(a, encoding=None, errors=None)",return_class,Ndarray
char,has_method,encode,"(a, encoding=None, errors=None)",return_class,Ndarray
char,has_method,multiply,"(a, i)",return_class,Ndarray
char,has_method,splitlines,"(a, keepends=None)",return_class,Ndarray
char,has_method,replace,"(a, old, new, count=None)",return_class,Ndarray
char,has_method,startswith,"(a, prefix, start=0, end=None)",return_class,Ndarray
char,has_method,partition,"(a, sep)",return_class,Ndarray
char,has_method,rpartition,"(a, sep)",return_class,Ndarray
char,has_method,rsplit,"(a, sep=None, maxsplit=None)",return_class,Ndarray
char,has_method,split,"(a, sep=None, maxsplit=None)",return_class,Ndarray
char,has_method,count,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,find,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,index,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,rfind,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,rindex,"(a, sub, start=0, end=None)",return_class,Ndarray
char,has_method,endswith,"(a, suffix, start=0, end=None)",return_class,Ndarray
char,has_method,translate,"(a, table, deletechars=None)",return_class,Ndarray
char,has_method,expandtabs,"(a, tabsize=8)",return_class,Ndarray
char,has_method,mod,"(a, values)",return_class,Ndarray
char,has_method,zfill,"(a, width)",return_class,Ndarray
char,has_method,center,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,ljust,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,rjust,"(a, width, fillchar=' ')",return_class,Ndarray
char,has_method,compare_chararrays,"(a1, a2, cmp, rstrip)",return_class,Ndarray
char,has_method,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",return_class,None
char,has_method,asarray,"(obj, itemsize=None, unicode=None, order=None)",return_class,None
char,has_method,join,"(sep, seq)",return_class,Ndarray
char,has_method,add,"(x1, x2)",return_class,Ndarray
char,has_method,equal,"(x1, x2)",return_class,Ndarray
char,has_method,not_equal,"(x1, x2)",return_class,Ndarray
char,has_method,greater_equal,"(x1, x2)",return_class,Ndarray
char,has_method,less_equal,"(x1, x2)",return_class,Ndarray
char,has_method,greater,"(x1, x2)",return_class,Ndarray
char,has_method,less,"(x1, x2)",return_class,Ndarray
defchararray,has_method,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",return_class,None
defchararray,has_method,asarray,"(obj, itemsize=None, unicode=None, order=None)",return_class,None
records,has_method,fromarrays,"(arrayList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,fromstring,"(datastring, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,fromfile,"(fd, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
records,has_method,array,"(obj, dtype=None, shape=None, offset=0, strides=None, formats=None, names=None, titles=None, aligned=False, byteorder=None, copy=True)",return_class,None
records,has_method,fromrecords,"(recList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",return_class,None
