方法名称1,方法名称2,方法参数,返回值类型,链接
numpy.,bitwise_and,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.bitwise_and.html
numpy.,seterr,"(all=None, divide=None, over=None, under=None, invalid=None)",dict,https://numpy.org/devdocs/reference/generated/numpy.seterr.html
numpy.,can_cast,"(from_, to, casting='safe')",bool,https://numpy.org/devdocs/reference/generated/numpy.can_cast.html
numpy.,empty,"(shape, dtype=float, order='C', *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.empty.html
numpy.,copyto,"(dst, src, casting='same_kind', where=True)",None,https://numpy.org/devdocs/reference/generated/numpy.copyto.html
emath.,sqrt,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.sqrt.html
fft.,fft,"(a, n=None, axis=-1, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.fft.html
numpy.,lookfor,"(what, module=None, import_modules=True, regenerate=False, output=None)",None,https://numpy.org/devdocs/reference/generated/numpy.lookfor.html
numpy.,load,"(file, mmap_mode=None, allow_pickle=False, fix_imports=True, encoding='ASCII', *, max_header_size=10000)","array, tuple, dict, etc.",https://numpy.org/devdocs/reference/generated/numpy.load.html
numpy.,bitwise_or,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.bitwise_or.html
numpy.,geterr,(),None,https://numpy.org/devdocs/reference/generated/numpy.geterr.html
numpy.,shape,(a),tuple of ints,https://numpy.org/devdocs/reference/generated/numpy.shape.html
numpy.,empty_like,"(prototype, dtype=None, order='K', subok=True, shape=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.empty_like.html
fft.,ifft,"(a, n=None, axis=-1, norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.ifft.html
numpy.,apply_along_axis,"(func1d, axis, arr, *args, **kwargs)","ndarray  (Ni…, Nj…, Nk…)",https://numpy.org/devdocs/reference/generated/numpy.apply_along_axis.html
char.,add,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.add.html
numpy.,save,"(file, arr, allow_pickle=True, fix_imports=True)",None,https://numpy.org/devdocs/reference/generated/numpy.save.html
numpy.,info,"(object=None, maxwidth=76, output=None, toplevel='numpy')",None,https://numpy.org/devdocs/reference/generated/numpy.info.html
numpy.,promote_types,"(type1, type2)",dtype,https://numpy.org/devdocs/reference/generated/numpy.promote_types.html
numpy.,datetime_as_string,"(arr, unit=None, timezone='naive', casting='same_kind')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.datetime_as_string.html
numpy.,bitwise_xor,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.bitwise_xor.html
numpy.,eye,"(N, M=None, k=0, dtype=<class 'float'>, order='C', *, like=None)","ndarray of shape (N,M)",https://numpy.org/devdocs/reference/generated/numpy.eye.html
numpy.,seterrcall,(func),"callable, log instance or None",https://numpy.org/devdocs/reference/generated/numpy.seterrcall.html
fft.,fft2,"(a, s=None, axes=(-2, -1), norm=None)",complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.fft.fft2.html
numpy.,reshape,"(a, newshape, order='C')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.reshape.html
emath.,log,(x),ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.emath.log.html
char.,multiply,"(a, i)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.multiply.html
numpy.,apply_over_axes,"(func, a, axes)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.apply_over_axes.html
