namespace,relation1,property,relation2,return_class
exceptions,has_property,ComplexWarning,return_class,None
exceptions,has_property,VisibleDeprecationWarning,return_class,None
exceptions,has_property,DTypePromotionError,return_class,None
exceptions,has_property,TooHardError,return_class,None
mixins,has_property,ndarrayOperatorsMixin,return_class,None
linalg,has_property,LinAlgError,return_class,None
ma,has_property,MaskType,return_class,None
ma,has_property,masked_array,return_class,None
ma,has_property,diagflat,return_class,Ndarray
ma,has_property,ones_like,return_class,Maskedarray
ma,has_property,zeros_like,return_class,Maskedarray
ma,has_property,atleast_1d,return_class,Ndarray
ma,has_property,atleast_2d,return_class,Ndarray
ma,has_property,atleast_3d,return_class,Ndarray
ma,has_property,squeeze,return_class,Maskedarray
ma,has_property,stack,return_class,Ndarray
ma,has_property,column_stack,return_class,Ndarray
ma,has_property,dstack,return_class,Ndarray
ma,has_property,hstack,return_class,Ndarray
ma,has_property,hsplit,return_class,None
ma,has_property,mr_,return_class,None
ma,has_property,row_stack,return_class,Ndarray
ma,has_property,vstack,return_class,Ndarray
ma,has_property,stack,return_class,Ndarray
ma,has_property,vstack,return_class,Ndarray
ma,has_property,hstack,return_class,Ndarray
ma,has_property,dstack,return_class,Ndarray
ma,has_property,column_stack,return_class,Ndarray
ma,has_property,around,return_class,None
ma,has_property,clip,return_class,Maskedarray
masked_array,has_property,mask,return_class,None
ndarray,has_property,flat,return_class,None
ndarray,has_property,T,return_class,None
polyutils,has_property,RankWarning,return_class,None
numpy,has_property,mgrid,return_class,None
numpy,has_property,ogrid,return_class,None
numpy,has_property,RankWarning,return_class,None
