subject,relation,object
api,has_namespace,extensions
api,has_namespace,indexers
api,has_namespace,interchange
api,has_namespace,types
DataFrame,has_namespace,plot
DataFrame,has_namespace,sparse
pandas,has_namespace,arrays
pandas,has_namespace,errors
pandas,has_namespace,plotting
pandas,has_namespace,testing
pandas,has_namespace,tseries
pandas,has_namespace,util
pandas,has_namespace,api
pandas,has_namespace,sparse
pandas,has_namespace,BQuarterBegin
pandas,has_namespace,BQuarterEnd
pandas,has_namespace,BusinessDay
pandas,has_namespace,BusinessHour
pandas,has_namespace,BusinessMonthBegin
pandas,has_namespace,BusinessMonthEnd
pandas,has_namespace,BYearBegin
pandas,has_namespace,BYearEnd
pandas,has_namespace,Categorical
pandas,has_namespace,CategoricalDtype
pandas,has_namespace,CategoricalIndex
pandas,has_namespace,CustomBusinessDay
pandas,has_namespace,CustomBusinessHour
pandas,has_namespace,CustomBusinessMonthBegin
pandas,has_namespace,CustomBusinessMonthEnd
pandas,has_namespace,DataFrame
pandas,has_namespace,DataFrameGroupBy
pandas,has_namespace,DateOffset
pandas,has_namespace,DatetimeIndex
pandas,has_namespace,Day
pandas,has_namespace,Easter
pandas,has_namespace,ExcelFile
pandas,has_namespace,Expanding
pandas,has_namespace,ExponentialMovingWindow
pandas,has_namespace,FY5253
pandas,has_namespace,FY5253Quarter
pandas,has_namespace,HDFStore
pandas,has_namespace,Hour
pandas,has_namespace,Index
pandas,has_namespace,Interval
pandas,has_namespace,IntervalIndex
pandas,has_namespace,LastWeekOfMonth
pandas,has_namespace,Micro
pandas,has_namespace,Milli
pandas,has_namespace,Minute
pandas,has_namespace,MonthBegin
pandas,has_namespace,MonthEnd
pandas,has_namespace,MultiIndex
pandas,has_namespace,Nano
pandas,has_namespace,Period
pandas,has_namespace,PeriodIndex
pandas,has_namespace,QuarterBegin
pandas,has_namespace,QuarterEnd
pandas,has_namespace,RangeIndex
pandas,has_namespace,Resampler
pandas,has_namespace,Rolling
pandas,has_namespace,Second
pandas,has_namespace,SemiMonthBegin
pandas,has_namespace,SemiMonthEnd
pandas,has_namespace,Series
pandas,has_namespace,SeriesGroupBy
pandas,has_namespace,StataReader
pandas,has_namespace,StataWriter
pandas,has_namespace,Styler
pandas,has_namespace,Tick
pandas,has_namespace,Timedelta
pandas,has_namespace,TimedeltaIndex
pandas,has_namespace,Timestamp
pandas,has_namespace,Week
pandas,has_namespace,WeekOfMonth
pandas,has_namespace,Window
pandas,has_namespace,YearBegin
pandas,has_namespace,YearEnd
Series,has_namespace,dt
Series,has_namespace,cat
Series,has_namespace,plot
Series,has_namespace,sparse
Series,has_namespace,str
tseries,has_namespace,offsets
