方法名称1,方法名称2,方法参数,返回值类型,链接
Resampler.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.__iter__.html
pandas.api.extensions.,register_extension_dtype,(cls),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_extension_dtype.html
pandas.api.extensions.,register_extension_dtype,(cls),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_extension_dtype.html
Resampler.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.__iter__.html
pandas.,melt,"(frame, id_vars=None, value_vars=None, var_name=None, value_name='value', col_level=None, ignore_index=True)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.melt.html
Rolling.,count,(numeric_only=False),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.count.html
pandas.,read_pickle,"(filepath_or_buffer, compression='infer', storage_options=None)",same type as object stored in file,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_pickle.html
pandas.testing.,assert_frame_equal,"(left, right, check_dtype=True, check_index_type='equiv', check_column_type='equiv', check_frame_type=True, check_names=True, by_blocks=False, check_exact=False, check_datetimelike_compat=False, check_categorical=True, check_like=False, check_freq=True, check_flags=True, rtol=1e-05, atol=1e-08, obj='DataFrame')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_frame_equal.html
pandas.plotting.,andrews_curves,"(frame, class_column, ax=None, samples=200, color=None, colormap=None, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.andrews_curves.html
pandas.plotting.,andrews_curves,"(frame, class_column, ax=None, samples=200, color=None, colormap=None, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.andrews_curves.html
pandas.testing.,assert_frame_equal,"(left, right, check_dtype=True, check_index_type='equiv', check_column_type='equiv', check_frame_type=True, check_names=True, by_blocks=False, check_exact=False, check_datetimelike_compat=False, check_categorical=True, check_like=False, check_freq=True, check_flags=True, rtol=1e-05, atol=1e-08, obj='DataFrame')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.testing.assert_frame_equal.html
Rolling.,count,(numeric_only=False),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.window.rolling.Rolling.count.html
pandas.,describe_option,"(pat, _print_desc=False)","None by default, the description(s) as a unicode string if _print_desc",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.describe_option.html
pandas.,describe_option,"(pat, _print_desc=False)","None by default, the description(s) as a unicode string if _print_desc",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.describe_option.html
pandas.,read_pickle,"(filepath_or_buffer, compression='infer', storage_options=None)",same type as object stored in file,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_pickle.html
pandas.,melt,"(frame, id_vars=None, value_vars=None, var_name=None, value_name='value', col_level=None, ignore_index=True)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.melt.html
Resampler.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.groups.html
DataFrameGroupBy.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.__iter__.html
pandas.io.formats.style.,Styler,"(data, precision=None, table_styles=None, uuid=None, caption=None, table_attributes=None, cell_ids=True, na_rep=None, uuid_len=5, decimal=None, thousands=None, escape=None, formatter=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.html
pandas.io.formats.style.,Styler,"(data, precision=None, table_styles=None, uuid=None, caption=None, table_attributes=None, cell_ids=True, na_rep=None, uuid_len=5, decimal=None, thousands=None, escape=None, formatter=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.formats.style.Styler.html
DataFrameGroupBy.,__iter__,(),"Generator yielding sequence of (name, subsetted object)",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.__iter__.html
Resampler.,groups,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.resample.Resampler.groups.html
pandas.api.extensions.,register_dataframe_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_dataframe_accessor.html
pandas.api.extensions.,register_dataframe_accessor,(name),callable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.extensions.register_dataframe_accessor.html
pandas.plotting.,autocorrelation_plot,"(series, ax=None, **kwargs)",matplotlib.axes.Axes,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.plotting.autocorrelation_plot.html
